n,p,dataset,max_iters,val
50,2,2,2,0.011964101
50,2,2,2,0.052940984
50,2,3,2,0.000378413
50,2,3,2,0.001097324
50,2,3,2,0.003048985
50,2,3,2,0.004536245
50,2,3,2,0.006403018
50,2,3,2,0.007293544
50,2,3,2,0.007612168
50,2,3,2,0.010264876
50,2,3,2,0.011119727
50,2,3,2,0.04093053
50,2,4,2,0.001414576
50,2,4,2,0.001560116
50,2,4,2,0.004503972
50,2,4,2,0.005490398
50,2,4,2,0.00577581
50,2,4,2,0.007541468
50,2,4,2,0.007711843
50,2,4,2,0.007797561
50,2,4,2,0.008984937
50,2,4,2,0.087780519
50,2,5,2,0.002543179
50,2,5,2,0.002738924
50,2,5,2,0.004140161
50,2,5,2,0.004884869
50,2,5,2,0.005032841
50,2,5,2,0.006312827
50,2,5,2,0.008863656
50,2,5,2,0.013759384
50,2,5,2,0.014435293
50,2,5,2,0.015557559
50,2,6,2,0.003560072
50,2,6,2,0.004201517
50,2,6,2,0.004581284
50,2,6,2,0.005943959
50,2,6,2,0.006458602
50,2,6,2,0.006679056
50,2,6,2,0.007766259
50,2,6,2,0.008189796
50,2,6,2,0.009432252
50,2,6,2,0.051933248
50,2,7,2,0.002357758
50,2,7,2,0.004129895
50,2,7,2,0.006962771
50,2,7,2,0.007552734
50,2,7,2,0.007992137
50,2,7,2,0.00842531
50,2,7,2,0.009299535
50,2,7,2,0.009451907
50,2,7,2,0.009972126
50,2,7,2,0.024379198
50,2,8,2,0.002379229
50,2,8,2,0.004748579
50,2,8,2,0.004758762
50,2,8,2,0.004894341
50,2,8,2,0.005857343
50,2,8,2,0.00607002
50,2,8,2,0.006535235
50,2,8,2,0.009389619
50,2,8,2,0.010506075
50,2,8,2,0.141615472
50,2,9,2,0.000659529
50,2,9,2,0.004288394
50,2,9,2,0.004748646
50,2,9,2,0.005938422
50,2,9,2,0.006406761
50,2,9,2,0.006727326
50,2,9,2,0.007632693
50,2,9,2,0.010827748
50,2,9,2,0.013080686
50,2,9,2,0.340116211
50,2,10,2,0.001695664
50,2,10,2,0.002653234
50,2,10,2,0.002815536
50,2,10,2,0.005698012
50,2,10,2,0.005811911
50,2,10,2,0.008170628
50,2,10,2,0.008984375
50,2,10,2,0.010786109
50,2,10,2,0.01346535
50,2,10,2,0.01545895
50,5,1,2,0.069712569
50,5,1,2,0.072697733
50,5,1,2,0.113992849
50,5,1,2,0.125626797
50,5,1,2,0.136377988
50,5,1,2,0.165337736
50,5,1,2,0.228834414
50,5,1,2,0.245774482
50,5,1,2,0.373771661
50,5,1,2,0.443222044
50,5,2,2,0.09273556
50,5,2,2,0.100319476
50,5,2,2,0.1011545
50,5,2,2,0.106012892
50,5,2,2,0.116431189
50,5,2,2,0.122697406
50,5,2,2,0.143896867
50,5,2,2,0.168230637
50,5,2,2,0.245395539
50,5,2,2,0.377572912
50,5,3,2,0.091970089
50,5,3,2,0.122438786
50,5,3,2,0.157298215
50,5,3,2,0.187972895
50,5,3,2,0.226200127
50,5,3,2,0.260022175
50,5,3,2,0.287231582
50,5,3,2,0.292469237
50,5,3,2,0.337244752
50,5,3,2,0.479374528
50,5,4,2,0.066061453
50,5,4,2,0.095511229
50,5,4,2,0.114628432
50,5,4,2,0.12391299
50,5,4,2,0.140825565
50,5,4,2,0.153915957
50,5,4,2,0.182924222
50,5,4,2,0.248512737
50,5,4,2,0.271266872
50,5,4,2,0.375305232
50,5,5,2,0.072637369
50,5,5,2,0.074600357
50,5,5,2,0.090767588
50,5,5,2,0.101108126
50,5,5,2,0.110733057
50,5,5,2,0.123208375
50,5,5,2,0.137708058
50,5,5,2,0.210172548
50,5,5,2,0.276587045
50,5,5,2,0.589173095
50,5,6,2,0.090947977
50,5,6,2,0.120419919
50,5,6,2,0.16447556
50,5,6,2,0.179842777
50,5,6,2,0.299666014
50,5,6,2,0.326730435
50,5,6,2,0.427097994
50,5,6,2,0.489954354
50,5,6,2,0.524073828
50,5,6,2,0.529030327
50,5,7,2,0.115016736
50,5,7,2,0.12910075
50,5,7,2,0.136490033
50,5,7,2,0.151747854
50,5,7,2,0.168330912
50,5,7,2,0.179926699
50,5,7,2,0.240309368
50,5,7,2,0.295327769
50,5,7,2,0.301996451
50,5,7,2,0.438160394
50,5,8,2,0.105442677
50,5,8,2,0.111570368
50,5,8,2,0.131831169
50,5,8,2,0.225225307
50,5,8,2,0.272342597
50,5,8,2,0.291503447
50,5,8,2,0.311585016
50,5,8,2,0.320854121
50,5,8,2,0.45341589
50,5,8,2,0.550990109
50,5,9,2,0.10472318
50,5,9,2,0.116816731
50,5,9,2,0.167755336
50,5,9,2,0.171656898
50,5,9,2,0.183666492
50,5,9,2,0.274861974
50,5,9,2,0.365070509
50,5,9,2,0.373736462
50,5,9,2,0.412310944
50,5,9,2,0.493364645
50,5,10,2,0.097627974
50,5,10,2,0.104318341
50,5,10,2,0.109754834
50,5,10,2,0.114785778
50,5,10,2,0.289019827
50,5,10,2,0.345604784
50,5,10,2,0.381778849
50,5,10,2,0.420161272
50,5,10,2,0.561097388
50,5,10,2,0.565531096
50,10,1,2,0.667992846
50,10,1,2,0.780587991
50,10,1,2,0.786773639
50,10,1,2,0.809062479
50,10,1,2,0.872499419
50,10,1,2,0.949980809
50,10,1,2,0.963412127
50,10,1,2,1.14381323
50,10,1,2,1.164232979
50,10,1,2,1.245048584
50,10,2,2,0.549136949
50,10,2,2,0.708983816
50,10,2,2,0.712765876
50,10,2,2,0.756273916
50,10,2,2,0.888865778
50,10,2,2,0.901777558
50,10,2,2,0.902036841
50,10,2,2,0.949489183
50,10,2,2,1.125636017
50,10,2,2,1.297030843
50,10,3,2,0.558472507
50,10,3,2,0.607422648
50,10,3,2,0.761605661
50,10,3,2,0.787565433
50,10,3,2,0.871313785
50,10,3,2,0.928570322
50,10,3,2,0.951812333
50,10,3,2,0.99880776
50,10,3,2,1.314995215
50,10,3,2,1.378315923
50,10,4,2,0.499806985
50,10,4,2,0.630436558
50,10,4,2,0.769318026
50,10,4,2,0.786631999
50,10,4,2,0.884724741
50,10,4,2,0.907395851
50,10,4,2,0.921002043
50,10,4,2,0.998531819
50,10,4,2,1.013596988
50,10,4,2,1.354309506
50,10,5,2,0.509928477
50,10,5,2,0.533911672
50,10,5,2,0.712059937
50,10,5,2,0.75666484
50,10,5,2,0.830654551
50,10,5,2,0.836566248
50,10,5,2,0.935638482
50,10,5,2,1.036911811
50,10,5,2,1.128582606
50,10,5,2,1.1983942
50,10,6,2,0.541082811
50,10,6,2,0.672078117
50,10,6,2,0.70931946
50,10,6,2,0.712729429
50,10,6,2,0.916481632
50,10,6,2,0.953015776
50,10,6,2,0.962741696
50,10,6,2,1.055487678
50,10,6,2,1.183512202
50,10,6,2,1.597158166
50,10,7,2,0.536776642
50,10,7,2,0.537543335
50,10,7,2,0.661925777
50,10,7,2,0.756007128
50,10,7,2,0.788124179
50,10,7,2,0.896940558
50,10,7,2,1.047311941
