n,p,r,val
400,150,1,3.365064321
400,150,1,3.446686005
400,150,1,3.459030892
400,150,1,3.471779156
400,150,1,3.506053319
400,150,1,3.524264343
400,150,1,3.538420869
400,150,1,3.563599606
400,150,1,3.574539661
400,150,1,3.584566836
400,150,1,3.610637167
400,150,1,3.63051107
400,150,1,3.631361991
400,150,1,3.652316475
400,150,1,3.71306874
400,150,1,3.807277123
400,150,1,3.840477746
400,150,1,4.132231379
400,150,1,4.150843274
400,150,1,4.158480932
400,150,1,4.176982763
400,150,1,4.180695999
400,150,1,4.353999306
400,300,1,9.11444262
400,300,1,9.133316462
400,300,1,9.410263681
400,300,1,9.439474788
400,300,1,9.502668033
400,300,1,9.566691685
400,300,1,9.687909688
400,300,1,9.784564308
400,300,1,9.863597671
400,300,1,9.921082563
400,300,1,9.937863036
400,300,1,9.965167803
400,300,1,10.02951194
400,300,1,10.05559372
400,300,1,10.06066445
400,300,1,10.08439651
400,300,1,10.16162641
400,300,1,10.17367998
400,300,1,10.19151231
400,300,1,10.22661994
400,300,1,10.25338594
400,300,1,10.39478135
400,300,1,10.49844021
400,300,1,10.63480926
400,300,1,10.83089823
400,300,1,10.88333414
400,300,1,10.99276589
400,300,1,11.18480767
400,300,1,11.22746649
400,300,1,11.32707778
1000,1,1,5.87E-11
1000,1,1,3.11E-10
1000,1,1,6.88E-10
1000,1,1,1.81E-09
1000,1,1,2.13E-09
1000,1,1,2.75E-09
1000,1,1,3.16E-09
1000,1,1,3.65E-09
1000,1,1,4.30E-09
1000,1,1,4.41E-09
1000,1,1,5.86E-09
1000,1,1,6.50E-09
1000,1,1,6.57E-09
1000,1,1,6.81E-09
1000,1,1,8.16E-09
1000,1,1,1.12E-08
1000,1,1,1.36E-08
1000,1,1,1.47E-08
1000,1,1,1.50E-08
1000,1,1,1.52E-08
1000,1,1,1.81E-08
1000,1,1,1.97E-08
1000,1,1,2.09E-08
1000,1,1,2.14E-08
1000,1,1,2.27E-08
1000,1,1,2.90E-08
1000,1,1,3.07E-08
1000,1,1,3.14E-08
1000,1,1,4.05E-08
1000,1,1,5.57E-08
1000,5,1,0.000349235
