n,p,r,d,val
50,30,500,6,1.695543602
50,30,500,7,1.790976125
50,30,500,8,1.654984802
50,30,500,9,1.68756946
50,30,500,10,1.553003816
50,30,500,11,1.617368562
50,30,500,12,1.600562692
50,30,500,13,1.741952084
50,30,500,14,1.710085084
50,30,500,15,1.758506979
50,30,500,16,1.765149487
50,30,500,17,1.728783768
50,30,500,18,1.642040533
50,30,500,19,1.698992814
50,30,500,20,1.707312563
50,30,500,21,1.694269182
50,30,500,22,1.670590142
50,30,500,23,1.734297626
50,30,500,24,1.715194483
50,30,500,25,1.630978078
100,1,1,1,5.12E-06
100,1,1,2,1.42E-05
100,1,1,3,1.61E-06
100,1,1,4,9.68E-06
100,1,1,5,4.20E-06
100,1,1,6,1.70E-05
100,1,1,7,5.45E-06
100,1,1,8,2.39E-05
100,1,1,9,2.01E-05
100,1,1,10,4.21E-06
100,1,1,11,1.10E-06
100,1,1,12,5.54E-06
100,1,1,13,3.39E-05
100,1,1,14,2.10E-05
100,1,1,15,5.10E-06
100,1,1,16,3.61E-05
100,1,1,17,2.00E-05
100,1,1,18,5.24E-06
100,1,1,19,1.55E-06
100,1,1,20,3.90E-06
100,1,1,21,1.20E-06
100,1,1,22,5.87E-06
100,1,1,23,4.11E-06
100,1,1,24,6.53E-06
100,1,1,25,1.49E-05
100,1,5,1,3.52E-06
100,1,5,2,2.44E-06
100,1,5,3,1.43E-06
100,1,5,4,2.25E-06
100,1,5,5,4.82E-06
100,1,5,6,2.26E-06
100,1,5,7,1.56E-06
100,1,5,8,1.02E-06
100,1,5,9,3.14E-06
100,1,5,10,4.10E-06
100,1,5,11,2.42E-06
100,1,5,12,3.30E-06
100,1,5,13,9.05E-06
100,1,5,14,1.97E-06
100,1,5,15,5.69E-07
100,1,5,16,1.41E-07
100,1,5,17,3.21E-06
100,1,5,18,7.27E-06
100,1,5,19,6.09E-07
100,1,5,20,1.34E-07
100,1,5,21,1.30E-06
100,1,5,22,2.69E-06
100,1,5,23,3.23E-08
100,1,5,24,8.31E-08
100,1,5,25,5.85E-06
100,1,30,1,1.03E-06
100,1,30,2,9.02E-08
100,1,30,3,3.02E-07
100,1,30,4,3.59E-08
100,1,30,5,1.24E-06
100,1,30,6,1.45E-06
100,1,30,7,5.06E-08
100,1,30,8,4.32E-07
100,1,30,9,6.18E-07
100,1,30,10,1.83E-07
100,1,30,11,3.51E-07
100,1,30,12,1.54E-07
100,1,30,13,9.44E-07
100,1,30,14,1.96E-07
100,1,30,15,3.06E-07
100,1,30,16,1.69E-07
100,1,30,17,1.42E-07
100,1,30,18,3.63E-07
100,1,30,19,3.95E-07
100,1,30,20,4.90E-07
100,1,30,21,5.29E-07
100,1,30,22,1.53E-07
100,1,30,23,6.98E-07
100,1,30,24,4.63E-07
100,1,30,25,1.59E-07
100,1,100,1,1.56E-08
100,1,100,2,2.29E-07
100,1,100,3,2.71E-08
100,1,100,4,1.16E-08
100,1,100,5,1.39E-08
100,1,100,6,1.28E-07
100,1,100,7,2.68E-07
100,1,100,8,1.45E-07
100,1,100,9,2.31E-07
100,1,100,10,8.65E-08
100,1,100,11,3.92E-08
100,1,100,12,4.59E-07
100,1,100,13,7.86E-08
100,1,100,14,5.12E-08
100,1,100,15,5.16E-08
100,1,100,16,2.92E-07
100,1,100,17,2.57E-09
100,1,100,18,2.12E-07
100,1,100,19,8.91E-09
100,1,100,20,4.33E-08
100,1,100,21,1.22E-07
100,1,100,22,3.08E-08
100,1,100,23,2.58E-07
100,1,100,24,3.16E-07
100,1,100,25,2.73E-09
100,1,500,1,8.59E-09
100,1,500,2,9.19E-09
100,1,500,3,2.49E-08
100,1,500,4,2.94E-08
100,1,500,5,3.41E-08
100,1,500,6,5.37E-08
100,1,500,7,4.64E-08
100,1,500,8,3.14E-08
100,1,500,9,2.64E-08
100,1,500,10,9.56E-08
100,1,500,11,1.81E-08
100,1,500,12,7.36E-09
100,1,500,13,6.03E-08
100,1,500,14,6.84E-08
100,1,500,15,7.67E-09
100,1,500,16,4.07E-08
100,1,500,17,2.49E-08
100,1,500,18,1.94E-08
100,1,500,19,1.36E-08
100,1,500,20,3.33E-08
100,1,500,21,1.31E-08
100,1,500,22,1.51E-08
100,1,500,23,8.63E-09
100,1,500,24,2.88E-08
100,1,500,25,1.89E-08
100,5,1,1,0.016242983
100,5,1,2,0.032100077
100,5,1,3,0.024084133
100,5,1,4,0.036418249
100,5,1,5,0.0377433
100,5,1,6,0.032032537
100,5,1,7,0.031803825
100,5,1,8,0.033370507
100,5,1,9,0.040926603
100,5,1,10,0.0382477
100,5,1,11,0.027850607
100,5,1,12,0.039837481
100,5,1,13,0.044709503
100,5,1,14,0.035037859
100,5,1,15,0.028480777
100,5,1,16,0.040600109
100,5,1,17,0.020884448
100,5,1,18,0.046122487
100,5,1,19,0.024825253
100,5,1,20,0.026198887
100,5,1,21,0.026160778
100,5,1,22,0.031403987
100,5,1,23,0.034951464
100,5,1,24,0.026797504
100,5,1,25,0.027555664
100,5,5,1,0.021311611
100,5,5,2,0.021457109
100,5,5,3,0.021819881
100,5,5,4,0.019713918
100,5,5,5,0.030752829
100,5,5,6,0.011784548
100,5,5,7,0.029216805
100,5,5,8,0.009819106
100,5,5,9,0.023622495
100,5,5,10,0.034079166
100,5,5,11,0.014687766
100,5,5,12,0.0191617
100,5,5,13,0.018443321
100,5,5,14,0.018921137
100,5,5,15,0.029674432
100,5,5,16,0.022054103
100,5,5,17,0.017894973
100,5,5,18,0.024977226
100,5,5,19,0.030384996
100,5,5,20,0.023843436
100,5,5,21,0.032161554
100,5,5,22,0.027489552
100,5,5,23,0.016334908
100,5,5,24,0.029839169
100,5,5,25,0.027643759
100,5,30,1,0.016309212
100,5,30,2,0.015954853
100,5,30,3,0.015436835
100,5,30,4,0.010681512
100,5,30,5,0.017159304
100,5,30,6,0.019429478
100,5,30,7,0.014440617
100,5,30,8,0.01882617
100,5,30,9,0.016187445
100,5,30,10,0.020333993
100,5,30,11,0.021111031
100,5,30,12,0.017502151
100,5,30,13,0.022058263
100,5,30,14,0.015570841
100,5,30,15,0.021060354
100,5,30,16,0.018315996
100,5,30,17,0.016965727
100,5,30,18,0.012349016
100,5,30,19,0.023660916
100,5,30,20,0.022046991
100,5,30,21,0.018027837
100,5,30,22,0.010661963
100,5,30,23,0.01274583
100,5,30,24,0.012928052
100,5,30,25,0.018410164
100,5,100,1,0.010558475
100,5,100,2,0.007328489
100,5,100,3,0.006398615
100,5,100,4,0.011248173
100,5,100,5,0.013712711
100,5,100,6,0.011503572
100,5,100,7,0.01537298
100,5,100,8,0.012477713
100,5,100,9,0.013125108
100,5,100,10,0.013880056
100,5,100,11,0.015594518
